pathway,recall,d,p
REACTOME_FATTY_ACIDS,0,0,14
REACTOME_MISCELLANEOUS_SUBSTRATES,0,0,12
REACTOME_EICOSANOIDS,0,0,11
REACTOME_CYP2E1_REACTIONS,0,0,11
REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE,0,0,22
REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES,0,0,37
REACTOME_SYNTHESIS_OF_EPOXY_EET_AND_DIHYDROXYEICOSATRIENOIC_ACIDS_DHET,0,0,8
REACTOME_SYNTHESIS_OF_5_EICOSATETRAENOIC_ACIDS,0,0,9
REACTOME_SYNTHESIS_OF_LEUKOTRIENES_LT_AND_EOXINS_EX,0,0,20
REACTOME_SYNTHESIS_OF_LIPOXINS_LX,0,0,6
REACTOME_SYNTHESIS_OF_12_EICOSATETRAENOIC_ACID_DERIVATIVES,0,0,7
REACTOME_ARACHIDONIC_ACID_METABOLISM,0,0,58
REACTOME_SYNTHESIS_OF_15_EICOSATETRAENOIC_ACID_DERIVATIVES,0,0,6
REACTOME_UBIQUINOL_BIOSYNTHESIS,0,0,8
REACTOME_SYNTHESIS_OF_16_20_HYDROXYEICOSATETRAENOIC_ACIDS_HETE,0,0,9
REACTOME_HYALURONAN_METABOLISM,0,0,17
REACTOME_HYALURONAN_BIOSYNTHESIS_AND_EXPORT,0,0,5
REACTOME_ACTIVATION_OF_PPARGC1A_PGC_1ALPHA_BY_PHOSPHORYLATION,0,0,10
REACTOME_HYALURONAN_UPTAKE_AND_DEGRADATION,0,0,12
REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT,0,0,5
REACTOME_SYNTHESIS_OF_PROSTAGLANDINS_PG_AND_THROMBOXANES_TX,0,0,15
REACTOME_THE_RETINOID_CYCLE_IN_CONES_DAYLIGHT_VISION,0,0,7
REACTOME_MUCOPOLYSACCHARIDOSES,0,0,11
REACTOME_PHOSPHATE_BOND_HYDROLYSIS_BY_NUDT_PROTEINS,0,0,7
REACTOME_METABOLISM_OF_INGESTED_SEMET_SEC_MESEC_INTO_H2SE,0,0,8
REACTOME_RETINOID_CYCLE_DISEASE_EVENTS,0,0,13
REACTOME_THE_CANONICAL_RETINOID_CYCLE_IN_RODS_TWILIGHT_VISION,0,0,23
REACTOME_ACTIVATION_OF_THE_PHOTOTRANSDUCTION_CASCADE,0,0,11
REACTOME_CONDENSATION_OF_PROMETAPHASE_CHROMOSOMES,0,0,11
REACTOME_THE_PHOTOTRANSDUCTION_CASCADE,0,0,34
REACTOME_INTERACTION_WITH_CUMULUS_CELLS_AND_THE_ZONA_PELLUCIDA,0,0,11
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE,0,0,17
REACTOME_FICOLINS_BIND_TO_REPETITIVE_CARBOHYDRATE_STRUCTURES_ON_THE_TARGET_CELL_SURFACE,0,0,5
REACTOME_ACTIVATION_OF_NIMA_KINASES_NEK9_NEK6_NEK7,0,0,7
REACTOME_LAMININ_INTERACTIONS,0,0,30
REACTOME_SUMO_IS_CONJUGATED_TO_E1_UBA2_SAE1,0,0,5
REACTOME_SUMO_IS_TRANSFERRED_FROM_E1_TO_E2_UBE2I_UBC9,0,0,7
REACTOME_SUMO_IS_PROTEOLYTICALLY_PROCESSED,0,0,6
REACTOME_REGULATION_OF_INNATE_IMMUNE_RESPONSES_TO_CYTOSOLIC_DNA,0,0,14
REACTOME_PROCESSING_AND_ACTIVATION_OF_SUMO,0,0,10
REACTOME_GLYCOGEN_STORAGE_DISEASES,0,0,16
REACTOME_WNT_LIGAND_BIOGENESIS_AND_TRAFFICKING,0,0,26
REACTOME_IRF3_MEDIATED_INDUCTION_OF_TYPE_I_IFN,0,0,12
REACTOME_TRP_CHANNELS,0,0,28
REACTOME_DEFECTS_IN_COBALAMIN_B12_METABOLISM,0,0,14
REACTOME_DEFECTS_IN_VITAMIN_AND_COFACTOR_METABOLISM,0,0,22
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,0,0,37
REACTOME_GLYCOGEN_SYNTHESIS,0,0,16
REACTOME_DEFECTS_IN_BIOTIN_BTN_METABOLISM,0,0,8
REACTOME_METABOLISM_OF_POLYAMINES,0,0,59
REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE,0,0,32
REACTOME_DEFECTIVE_CHST3_CAUSES_SEDCJD,0,0,8
REACTOME_DEFECTIVE_CHST14_CAUSES_EDS_MUSCULOCONTRACTURAL_TYPE,0,0,8
REACTOME_DEFECTIVE_CHSY1_CAUSES_TPBS,0,0,8
REACTOME_DEFECTIVE_CHST6_CAUSES_MCDC1,0,0,8
REACTOME_DEFECTIVE_ST3GAL3_CAUSES_MCT12_AND_EIEE15,0,0,8
REACTOME_DEFECTIVE_B4GALT1_CAUSES_B4GALT1_CDG_CDG_2D,0,0,8
REACTOME_AMINE_LIGAND_BINDING_RECEPTORS,0,0,41
REACTOME_DISEASES_ASSOCIATED_WITH_N_GLYCOSYLATION_OF_PROTEINS,0,0,17
REACTOME_MYOCLONIC_EPILEPSY_OF_LAFORA,0,0,9
REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION,0,0,6
REACTOME_TRNA_AMINOACYLATION,0,0,24
REACTOME_MITOCHONDRIAL_TRNA_AMINOACYLATION,0,0,18
REACTOME_TACHYKININ_RECEPTORS_BIND_TACHYKININS,0,0,5
REACTOME_OLFACTORY_SIGNALING_PATHWAY,0,0,392
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,0,0,103
REACTOME_VASOPRESSIN_LIKE_RECEPTORS,0,0,6
REACTOME_OREXIN_AND_NEUROPEPTIDES_FF_AND_QRFP_BIND_TO_THEIR_RESPECTIVE_RECEPTORS,0,0,8
REACTOME_ALPHA_OXIDATION_OF_PHYTANATE,0,0,6
REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION,0,0,31
REACTOME_BETA_OXIDATION_OF_PRISTANOYL_COA,0,0,9
REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING,0,0,32
REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC,0,0,25
REACTOME_POST_CHAPERONIN_TUBULIN_FOLDING_PATHWAY,0,0,22
REACTOME_BETA_OXIDATION_OF_VERY_LONG_CHAIN_FATTY_ACIDS,0,0,11
REACTOME_FOLDING_OF_ACTIN_BY_CCT_TRIC,0,0,10
REACTOME_MUSCARINIC_ACETYLCHOLINE_RECEPTORS,0,0,5
REACTOME_DOPAMINE_RECEPTORS,0,0,5
REACTOME_SEROTONIN_RECEPTORS,0,0,12
REACTOME_ADRENOCEPTORS,0,0,9
REACTOME_PEROXISOMAL_LIPID_METABOLISM,0,0,29
REACTOME_PROSTANOID_LIGAND_RECEPTORS,0,0,9
REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE,0,0,21
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_12,0,0,22
REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLUCOSE_DEPENDENT_INSULINOTROPIC_POLYPEPTIDE_GIP,0,0,13
REACTOME_SIALIC_ACID_METABOLISM,0,0,33
REACTOME_TRAFFICKING_OF_GLUR2_CONTAINING_AMPA_RECEPTORS,0,0,16
REACTOME_P2Y_RECEPTORS,0,0,12
REACTOME_NUCLEOTIDE_LIKE_PURINERGIC_RECEPTORS,0,0,16
REACTOME_CGMP_EFFECTS,0,0,15
REACTOME_CASPASE_ACTIVATION_VIA_DEPENDENCE_RECEPTORS_IN_THE_ABSENCE_OF_LIGAND,0,0,10
REACTOME_LYSOSPHINGOLIPID_AND_LPA_RECEPTORS,0,0,9
REACTOME_OPSINS,0,0,9
REACTOME_CALCITONIN_LIKE_LIGAND_RECEPTORS,0,0,10
REACTOME_TIGHT_JUNCTION_INTERACTIONS,0,0,30
REACTOME_CLASS_C_3_METABOTROPIC_GLUTAMATE_PHEROMONE_RECEPTORS,0,0,39
REACTOME_NECTIN_NECL_TRANS_HETERODIMERIZATION,0,0,7
REACTOME_BICARBONATE_TRANSPORTERS,0,0,10
REACTOME_METAL_ION_SLC_TRANSPORTERS,0,0,26
REACTOME_SODIUM_CALCIUM_EXCHANGERS,0,0,11
REACTOME_SODIUM_PROTON_EXCHANGERS,0,0,9
REACTOME_ARACHIDONATE_PRODUCTION_FROM_DAG,0,0,5
REACTOME_CATION_COUPLED_CHLORIDE_COTRANSPORTERS,0,0,7
REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION,0,0,8
REACTOME_MULTIFUNCTIONAL_ANION_EXCHANGERS,0,0,9
REACTOME_ORGANIC_ANION_TRANSPORTERS,0,0,10
REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE,0,0,16
REACTOME_PASSIVE_TRANSPORT_BY_AQUAPORINS,0,0,13
REACTOME_SODIUM_COUPLED_SULPHATE_DI_AND_TRI_CARBOXYLATE_TRANSPORTERS,0,0,5
REACTOME_PROTON_COUPLED_MONOCARBOXYLATE_TRANSPORT,0,0,6
REACTOME_ZINC_TRANSPORTERS,0,0,17
REACTOME_ZINC_EFFLUX_AND_COMPARTMENTALIZATION_BY_THE_SLC30_FAMILY,0,0,7
REACTOME_ZINC_INFLUX_INTO_CELLS_BY_THE_SLC39_GENE_FAMILY,0,0,10
REACTOME_NA_CL_DEPENDENT_NEUROTRANSMITTER_TRANSPORTERS,0,0,19
REACTOME_FREE_FATTY_ACID_RECEPTORS,0,0,5
REACTOME_FORMYL_PEPTIDE_RECEPTORS_BIND_FORMYL_PEPTIDES_AND_MANY_OTHER_LIGANDS,0,0,8
REACTOME_RELAXIN_RECEPTORS,0,0,8
REACTOME_TYPE_I_HEMIDESMOSOME_ASSEMBLY,0,0,11
REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN,0,0,76
REACTOME_SYNTHESIS_OF_DOLICHYL_PHOSPHATE,0,0,6
REACTOME_SYNTHESIS_OF_GDP_MANNOSE,0,0,5
REACTOME_SYNTHESIS_OF_UDP_N_ACETYL_GLUCOSAMINE,0,0,8
REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS,0,0,61
REACTOME_REGULATION_OF_CYTOSKELETAL_REMODELING_AND_CELL_SPREADING_BY_IPP_COMPLEX_COMPONENTS,0,0,8
REACTOME_NRCAM_INTERACTIONS,0,0,7
REACTOME_CHL1_INTERACTIONS,0,0,9
REACTOME_NEUROFASCIN_INTERACTIONS,0,0,7
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION,0,0,23
REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA,0,0,55
REACTOME_TRISTETRAPROLIN_TTP_ZFP36_BINDS_AND_DESTABILIZES_MRNA,0,0,17
REACTOME_IONOTROPIC_ACTIVITY_OF_KAINATE_RECEPTORS,0,0,10
REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING,0,0,30
REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS,0,0,64
REACTOME_INTERCONVERSION_OF_NUCLEOTIDE_DI_AND_TRIPHOSPHATES,0,0,28
REACTOME_PRESYNAPTIC_FUNCTION_OF_KAINATE_RECEPTORS,0,0,21
REACTOME_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS,0,0,37
REACTOME_PINK1_PRKN_MEDIATED_MITOPHAGY,0,0,22
REACTOME_MISCELLANEOUS_TRANSPORT_AND_BINDING_EVENTS,0,0,25
REACTOME_TOXICITY_OF_BOTULINUM_TOXIN_TYPE_D_BOTD,0,0,5
REACTOME_SIGNALING_BY_LRP5_MUTANTS,0,0,6
REACTOME_HEDGEHOG_LIGAND_BIOGENESIS,0,0,65
REACTOME_RELEASE_OF_HH_NP_FROM_THE_SECRETING_CELL,0,0,8
REACTOME_RA_BIOSYNTHESIS_PATHWAY,0,0,21
REACTOME_MITOCHONDRIAL_TRANSLATION,0,0,94
REACTOME_NEGATIVE_REGULATION_OF_TCF_DEPENDENT_SIGNALING_BY_DVL_INTERACTING_PROTEINS,0,0,5
REACTOME_AFLATOXIN_ACTIVATION_AND_DETOXIFICATION,0,0,19
REACTOME_PHASE_4_RESTING_MEMBRANE_POTENTIAL,0,0,19
REACTOME_PHASE_3_RAPID_REPOLARISATION,0,0,8
REACTOME_PHASE_0_RAPID_DEPOLARISATION,0,0,32
REACTOME_PHASE_2_PLATEAU_PHASE,0,0,15
REACTOME_PHASE_1_INACTIVATION_OF_FAST_NA_CHANNELS,0,0,7
REACTOME_METABOLIC_DISORDERS_OF_BIOLOGICAL_OXIDATION_ENZYMES,0,0,36
REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSYLATION_PRECURSOR_BIOSYNTHESIS,0,0,18
REACTOME_ORGANIC_ANION_TRANSPORT,0,0,5
REACTOME_ABC_TRANSPORTER_DISORDERS,0,0,77
REACTOME_VXPX_CARGO_TARGETING_TO_CILIUM,0,0,21
REACTOME_TRAFFICKING_OF_MYRISTOYLATED_PROTEINS_TO_THE_CILIUM,0,0,5
REACTOME_TNFR1_MEDIATED_CERAMIDE_PRODUCTION,0,0,6
REACTOME_APEX1_INDEPENDENT_RESOLUTION_OF_AP_SITES_VIA_THE_SINGLE_NUCLEOTIDE_REPLACEMENT_PATHWAY,0,0,7
REACTOME_FRUCTOSE_METABOLISM,0,0,7
REACTOME_FGFRL1_MODULATION_OF_FGFR1_SIGNALING,0,0,13
REACTOME_RESPONSE_TO_METAL_IONS,0,0,14
REACTOME_METALLOTHIONEINS_BIND_METALS,0,0,11
REACTOME_FORMATION_OF_XYLULOSE_5_PHOSPHATE,0,0,5
REACTOME_MELANIN_BIOSYNTHESIS,0,0,5
REACTOME_DISEASES_OF_CARBOHYDRATE_METABOLISM,0,0,34
REACTOME_PROTEIN_REPAIR,0,0,6
REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS,0,0,61
REACTOME_LGI_ADAM_INTERACTIONS,0,0,14
REACTOME_DEFECTIVE_CSF2RB_CAUSES_SMDP5,0,0,8
REACTOME_CARGO_CONCENTRATION_IN_THE_ER,0,0,32
REACTOME_HIGHLY_SODIUM_PERMEABLE_POSTSYNAPTIC_ACETYLCHOLINE_NICOTINIC_RECEPTORS,0,0,7
REACTOME_HIGHLY_CALCIUM_PERMEABLE_POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS,0,0,11
REACTOME_HIGHLY_CALCIUM_PERMEABLE_NICOTINIC_ACETYLCHOLINE_RECEPTORS,0,0,9
REACTOME_TRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL,0,0,42
REACTOME_SYNTHESIS_OF_WYBUTOSINE_AT_G37_OF_TRNA_PHE,0,0,6
REACTOME_TRNA_PROCESSING_IN_THE_MITOCHONDRION,0,0,4
REACTOME_TRNA_MODIFICATION_IN_THE_MITOCHONDRION,0,0,8
REACTOME_GDP_FUCOSE_BIOSYNTHESIS,0,0,4
REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL,0,0,60
REACTOME_RRNA_MODIFICATION_IN_THE_MITOCHONDRION,0,0,6
REACTOME_CHOLINE_CATABOLISM,0,0,6
REACTOME_COMPLEX_I_BIOGENESIS,0,0,49
REACTOME_METAL_SEQUESTRATION_BY_ANTIMICROBIAL_PROTEINS,0,0,6
REACTOME_ANTIMICROBIAL_PEPTIDES,0,0,94
REACTOME_KERATINIZATION,0,0,216
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE,0,0,128
REACTOME_RETROGRADE_TRANSPORT_AT_THE_TRANS_GOLGI_NETWORK,0,0,49
REACTOME_COOPERATION_OF_PDCL_PHLP1_AND_TRIC_CCT_IN_G_PROTEIN_BETA_FOLDING,0,0,42
REACTOME_GLYCEROPHOSPHOLIPID_CATABOLISM,0,0,7
REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION,0,0,6
REACTOME_CDC6_ASSOCIATION_WITH_THE_ORC_ORIGIN_COMPLEX,0,0,11
REACTOME_ASSEMBLY_OF_THE_PRE_REPLICATIVE_COMPLEX,0,0,68
REACTOME_G2_PHASE,0,0,5
REACTOME_G2_M_DNA_REPLICATION_CHECKPOINT,0,0,5
REACTOME_GLYCOGEN_BREAKDOWN_GLYCOGENOLYSIS,0,0,15
REACTOME_GLUCONEOGENESIS,0,0,34
REACTOME_FRUCTOSE_CATABOLISM,0,0,5
REACTOME_GALACTOSE_CATABOLISM,0,0,5
REACTOME_UREA_CYCLE,0,0,10
REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,0,0,21
REACTOME_HISTIDINE_CATABOLISM,0,0,8
REACTOME_PROPIONYL_COA_CATABOLISM,0,0,5
REACTOME_LYSINE_CATABOLISM,0,0,12
REACTOME_TRYPTOPHAN_CATABOLISM,0,0,14
REACTOME_CREATINE_METABOLISM,0,0,11
REACTOME_PENTOSE_PHOSPHATE_PATHWAY,0,0,15
REACTOME_ETHANOL_OXIDATION,0,0,11
REACTOME_RECYCLING_OF_EIF2_GDP,0,0,8
REACTOME_TRANSPORT_OF_NUCLEOTIDE_SUGARS,0,0,9
REACTOME_PYRIMIDINE_SALVAGE,0,0,11
REACTOME_PYRIMIDINE_CATABOLISM,0,0,12
REACTOME_RNA_POLYMERASE_III_CHAIN_ELONGATION,0,0,18
REACTOME_KETONE_BODY_METABOLISM,0,0,10
REACTOME_PURINE_SALVAGE,0,0,13
REACTOME_IRS_ACTIVATION,0,0,5
REACTOME_TRIGLYCERIDE_BIOSYNTHESIS,0,0,13
REACTOME_DISSOLUTION_OF_FIBRIN_CLOT,0,0,13
REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_INITIATION_FROM_TYPE_1_PROMOTER,0,0,28
REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_INITIATION_FROM_TYPE_3_PROMOTER,0,0,28
REACTOME_SYNTHESIS_OF_KETONE_BODIES,0,0,8
REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION_OF_SATURATED_FATTY_ACIDS,0,0,11
REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION_OF_UNSATURATED_FATTY_ACIDS,0,0,6
REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION,0,0,37
REACTOME_BETA_OXIDATION_OF_LAUROYL_COA_TO_DECANOYL_COA_COA,0,0,5
REACTOME_BETA_OXIDATION_OF_DECANOYL_COA_TO_OCTANOYL_COA_COA,0,0,6
REACTOME_BETA_OXIDATION_OF_OCTANOYL_COA_TO_HEXANOYL_COA,0,0,5
REACTOME_BETA_OXIDATION_OF_HEXANOYL_COA_TO_BUTANOYL_COA,0,0,5
REACTOME_BETA_OXIDATION_OF_BUTANOYL_COA_TO_ACETYL_COA,0,0,5
REACTOME_INSULIN_RECEPTOR_RECYCLING,0,0,26
REACTOME_SLBP_DEPENDENT_PROCESSING_OF_REPLICATION_DEPENDENT_HISTONE_PRE_MRNAS,0,0,11
REACTOME_TRANSPORT_OF_FATTY_ACIDS,0,0,8
REACTOME_TRANSPORT_OF_NUCLEOSIDES_AND_FREE_PURINE_AND_PYRIMIDINE_BASES_ACROSS_THE_PLASMA_MEMBRANE,0,0,12
REACTOME_WAX_AND_PLASMALOGEN_BIOSYNTHESIS,0,0,7
REACTOME_PHOSPHATE_BOND_HYDROLYSIS_BY_NTPDASE_PROTEINS,0,0,8
REACTOME_BUTYROPHILIN_BTN_FAMILY_INTERACTIONS,0,0,12
REACTOME_SIGNALING_BY_MST1,0,0,5
REACTOME_REELIN_SIGNALLING_PATHWAY,0,0,5
REACTOME_NEGATIVE_REGULATION_OF_ACTIVITY_OF_TFAP2_AP_2_FAMILY_TRANSCRIPTION_FACTORS,0,0,10
REACTOME_RRNA_PROCESSING_IN_THE_MITOCHONDRION,0,0,9
REACTOME_RAB_GERANYLGERANYLATION,0,0,64
REACTOME_GABA_SYNTHESIS_RELEASE_REUPTAKE_AND_DEGRADATION,0,0,19
REACTOME_DIGESTION,0,0,23
REACTOME_COMPETING_ENDOGENOUS_RNAS_CERNAS_REGULATE_PTEN_TRANSLATION,0,0,8
REACTOME_MITOCHONDRIAL_CALCIUM_ION_TRANSPORT,0,0,23
REACTOME_CRISTAE_FORMATION,0,0,27
REACTOME_PROCESSING_OF_SMDT1,0,0,16
REACTOME_CARBOXYTERMINAL_POST_TRANSLATIONAL_MODIFICATIONS_OF_TUBULIN,0,0,43
REACTOME_NUCLEOTIDE_SALVAGE,0,0,23
REACTOME_INTESTINAL_ABSORPTION,0,0,5
REACTOME_TYROSINE_CATABOLISM,0,0,5
REACTOME_PHENYLALANINE_AND_TYROSINE_METABOLISM,0,0,11
REACTOME_ASPARTATE_AND_ASPARAGINE_METABOLISM,0,0,11
REACTOME_DIGESTION_AND_ABSORPTION,0,0,28
REACTOME_HDL_CLEARANCE,0,0,5
REACTOME_PHENYLALANINE_METABOLISM,0,0,6
REACTOME_GLUTAMATE_AND_GLUTAMINE_METABOLISM,0,0,14
REACTOME_LIPID_PARTICLE_ORGANIZATION,0,0,6
REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_CDC42,0,0,20
REACTOME_GLYCOGEN_METABOLISM,0,0,27
REACTOME_ER_QUALITY_CONTROL_COMPARTMENT_ERQC,0,0,20
REACTOME_INTERLEUKIN_18_SIGNALING,0,0,8
REACTOME_NOTCH4_ACTIVATION_AND_TRANSMISSION_OF_SIGNAL_TO_THE_NUCLEUS,0,0,11
REACTOME_TICAM1_TRAF6_DEPENDENT_INDUCTION_OF_TAK1_COMPLEX,0,0,11
REACTOME_INTERLEUKIN_36_PATHWAY,0,0,7
REACTOME_NONCANONICAL_ACTIVATION_OF_NOTCH3,0,0,8
REACTOME_BIOSYNTHESIS_OF_SPECIALIZED_PRORESOLVING_MEDIATORS_SPMS,0,0,19
REACTOME_BIOSYNTHESIS_OF_EPA_DERIVED_SPMS,0,0,6
REACTOME_BIOSYNTHESIS_OF_MARESINS,0,0,8
REACTOME_BIOSYNTHESIS_OF_MARESIN_LIKE_SPMS,0,0,6
REACTOME_TYSND1_CLEAVES_PEROXISOMAL_PROTEINS,0,0,7
REACTOME_BLOOD_GROUP_SYSTEMS_BIOSYNTHESIS,0,0,21
REACTOME_ENDOSOMAL_SORTING_COMPLEX_REQUIRED_FOR_TRANSPORT_ESCRT,0,0,31
REACTOME_TRANSFERRIN_ENDOCYTOSIS_AND_RECYCLING,0,0,31
REACTOME_IRAK2_MEDIATED_ACTIVATION_OF_TAK1_COMPLEX,0,0,10
REACTOME_CLASS_I_PEROXISOMAL_MEMBRANE_PROTEIN_IMPORT,0,0,20
REACTOME_INSERTION_OF_TAIL_ANCHORED_PROTEINS_INTO_THE_ENDOPLASMIC_RETICULUM_MEMBRANE,0,0,20
REACTOME_LIPOPHAGY,0,0,9
REACTOME_LATE_ENDOSOMAL_MICROAUTOPHAGY,0,0,34
REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS,0,0,27
REACTOME_PREVENTION_OF_PHAGOSOMAL_LYSOSOMAL_FUSION,0,0,9
REACTOME_SUPPRESSION_OF_PHAGOSOMAL_MATURATION,0,0,13
REACTOME_ALPHA_PROTEIN_KINASE_1_SIGNALING_PATHWAY,0,0,11
REACTOME_N_GLYCAN_TRIMMING_AND_ELONGATION_IN_THE_CIS_GOLGI,0,0,5
REACTOME_DEFECTS_OF_CONTACT_ACTIVATION_SYSTEM_CAS_AND_KALLIKREIN_KININ_SYSTEM_KKS,0,0,16
REACTOME_DEFECTIVE_FACTOR_VIII_CAUSES_HEMOPHILIA_A,0,0,7
REACTOME_DEFECTIVE_FACTOR_IX_CAUSES_HEMOPHILIA_B,0,0,9
REACTOME_DEFECTIVE_F9_ACTIVATION,0,0,6
REACTOME_TRANSLATION_OF_REPLICASE_AND_ASSEMBLY_OF_THE_REPLICATION_TRANSCRIPTION_COMPLEX,0,0,13
REACTOME_MATURATION_OF_PROTEIN_3A,0,0,9
REACTOME_MATURATION_OF_SARS_COV_1_SPIKE_PROTEIN,0,0,5
REACTOME_TRANSLATION_OF_SARS_COV_1_STRUCTURAL_PROTEINS,0,0,28
REACTOME_MATURATION_OF_NUCLEOPROTEIN,0,0,10
REACTOME_N_GLYCAN_ANTENNAE_ELONGATION_IN_THE_MEDIAL_TRANS_GOLGI,0,0,26
REACTOME_N_GLYCAN_ANTENNAE_ELONGATION,0,0,15
REACTOME_REACTIONS_SPECIFIC_TO_THE_COMPLEX_N_GLYCAN_SYNTHESIS_PATHWAY,0,0,10
REACTOME_SERINE_BIOSYNTHESIS,0,0,9
KEGG_OLFACTORY_TRANSDUCTION,0.002610966,1,382
REACTOME_G_ALPHA_S_SIGNALLING_EVENTS,0.007518797,4,528
REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS,0.008130081,1,122
REACTOME_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS,0.008130081,1,122
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,0.008241758,3,361
REACTOME_STIMULI_SENSING_CHANNELS,0.009345794,1,106
REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES,0.00952381,1,104
REACTOME_POTASSIUM_CHANNELS,0.009708738,1,102
NABA_ECM_GLYCOPROTEINS,0.010416667,2,190
WP_GPCRS_OTHER,0.010989011,1,90
REACTOME_SPHINGOLIPID_METABOLISM,0.011363636,1,87
REACTOME_FATTY_ACID_METABOLISM,0.011428571,2,173
REACTOME_TRANSPORT_OF_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS,0.011627907,1,85
WP_GPCRS_CLASS_A_RHODOPSINLIKE,0.01171875,3,253
REACTOME_DNA_REPLICATION_PRE_INITIATION,0.011764706,1,84
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM,0.012987013,1,76
REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,0.013513514,1,73
REACTOME_RNA_POLYMERASE_II_TRANSCRIBES_SNRNA_GENES,0.013513514,1,73
REACTOME_ORC1_REMOVAL_FROM_CHROMATIN,0.014084507,1,70
REACTOME_RRNA_PROCESSING,0.014851485,3,199
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS,0.015151515,3,195
REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT,0.015384615,1,64
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS,0.015432099,5,319
REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT,0.016064257,4,245
NABA_MATRISOME_ASSOCIATED,0.016129032,12,732
REACTOME_ION_CHANNEL_TRANSPORT,0.016304348,3,181
KEGG_LYSOSOME,0.016528926,2,119
NABA_MATRISOME,0.016748768,17,998
WP_COMPLEMENT_AND_COAGULATION_CASCADES,0.017241379,1,57
REACTOME_IRON_UPTAKE_AND_TRANSPORT,0.017241379,1,57
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,0.01744186,3,169
WP_PROXIMAL_TUBULE_TRANSPORT,0.01754386,1,56
